Pin Name,Channel Site-1,Channel Site-2,Ball Number(s)
CAN_EN,12201,10608,T5
CAN_RX,13109,12112,T3
CAN_TX,13101,12113,U3
CFG0,12011,10212,V18
CFG1,11906,10111,Y17
DEBUG_EN,12001,10211,V17
GPIOA_0,12003,10204,W8
GPIOA_1,12002,10203,W7
GPIOA_10,13014,12309,Y3
GPIOA_11,11801,10307,AA2
GPIOA_12,13111,12115,V3
GPIOA_13,13013,12308,V4
GPIOA_14,13012,12307,U4
GPIOA_15,12212,10601,W2
GPIOA_2,12114,10613,AB4
GPIOA_3,13112,10201,V6
GPIOA_4,12001,10202,W6
GPIOA_5,12216,10612,AB3
GPIOA_6,12214,10611,AB2
GPIOA_7,11803,10311,AA4
GPIOA_8,13015,12301,Y4
GPIOA_9,11802,10309,AA3
GPIOB_0,12209,11316,P1
GPIOB_1,12907,10401,M2
GPIOB_10,13005,11602,H3
GPIOB_11,13105,12108,J5
GPIOB_12,12904,11514,H2
GPIOB_13,12203,11311,G1
GPIOB_14,13104,11616,G5
GPIOB_15,12903,11513,G2
GPIOB_2,12208,11315,N1
GPIOB_3,13006,11603,L3
GPIOB_4,12207,11314,L1
GPIOB_5,12906,11516,L2
GPIOB_6,12206,11313,K1
GPIOB_7,13106,12109,L4
GPIOB_8,12205,11312,J1
GPIOB_9,12905,11515,J2
GPIOC_0,12405,10716,T21
GPIOC_1,11912,10801,R19
GPIOC_10,11901,10115,U19
GPIOC_11,10412,11104,AA22
GPIOC_12,12402,10713,W21
GPIOC_13,10411,11103,AB22
GPIOC_14,12401,10712,Y21
GPIOC_15,11716,10711,AA21
GPIOC_2,10414,11106,U22
GPIOC_3,12012,10213,T18
GPIOC_4,12013,10214,T20
GPIOC_5,12404,10715,U21
GPIOC_6,11911,10116,T19
GPIOC_7,10413,11105,W22
GPIOC_8,12403,10714,V21
GPIOC_9,11909,10114,W20
GPIOD_0,12901,10901,A19
GPIOD_1,12607,11012,E16
GPIOD_10,10606,10908,B22
GPIOD_11,12415,11501,D21
GPIOD_12,12413,11115,F21
GPIOD_13,12603,11008,E20
GPIOD_14,12414,11116,E21
GPIOD_15,10605,10907,D22
GPIOD_2,12606,11011,D17
GPIOD_3,12501,11203,C18
GPIOD_4,12605,11001,D18
GPIOD_5,12602,11202,C19
GPIOD_6,12604,11009,D19
GPIOD_7,12909,10909,A21
GPIOD_8,12601,11201,C20
GPIOD_9,12416,11502,C21
HB_CLK_N,12915,10103,V9
HB_CLK_P,12913,10101,AA9
HB_CS0_N,13116,12315,Y9
HB_CS1_N,13114,12312,AB6
HB_DATA0,12006,10207,W11
HB_DATA1,10302,10801,AB10
HB_DATA2,11805,10805,AA10
HB_DATA3,11702,10106,Y11
HB_DATA4,10301,10809,AB9
HB_DATA5,13016,12311,V10
