Pin Name,Channel Number,Ball Number(s)
DDR_0_A[7],10101,AM26
I2S0_DIN5,10102,Y32
DDR_0_A[1],10103,AR27
I2S0_DOUT0,10104,V36
DDR_0_DQ[27],10105,AT28
DDR_0_DQS[3],10106,AU24
DDR_0_DQ[26],10107,AU23
IMG_JTAG_TDO,10108,AG29
MIPS_JTAG_TDO,10109,AG27
DDR_0_A[4],10110,AR29
DDR_0_A[12],10111,AP30
DDR_0_CK,10112,AN34
DDR_0_DQS[0],10113,AM37
SENSOR_IF1_D6_P,10114,M29
DDR_0_DTO[1],10115,AK33
SENSOR_IF1_D6_N,10116,L30
EXT_POWER0,10201,AN20
MIPI_RX_1_CLKP,10202,L28
DDR_0_A[9],10203,AL24
MIPI_RX_1_CLKN,10204,L27
XTAL0_IN,10205,AU19
EXT_POWER2,10206,AR20
XTAL0_OUT,10207,AT19
CLK_OUT0,10208,AL21
SYS_WAKE3,10209,AN18
GPIO10,10210,AC30
SPDIF_OUT,10211,Y28
GPIO14,10212,AA28
PDM_PWM_2,10213,AG32
SENSOR_IF0_D3_P,10214,J31
IMG_JTAG_TRST,10215,AG30
SENSOR_IF0_D3_N,10216,H31
DDR_1_A[0],10301,AP12
RESETN,10302,AM20
SPI0_CS4,10303,AG7
I2C2_SCLK,10304,AD32
DDR_1_A[6],10305,AL12
XTAL1_IN,10306,AU18
XTAL1_OUT,10307,AT18
DDR_0_A[0],10308,AJ24
RESETN_OUT,10309,AL20
I2S0_DIN4,10310,Y31
MIPS_JTAG_TMS,10311,AH27
DDR_0_A[13],10312,AP26
NC,10313,U36,10314,U33,10315,U34,10316,U32,10414,U35,10416,V28,10509,U31,10610,U30,20513,U29,20514,T37,20515,R36,20516,R35,20607,U37,20608,T36,20612,R37,20613,P36,20709,R33,20710,R30,20711,R31,20712,R34,20713,P33,20715,R32,20903,R29,20905,R28,20910,U28,21007,P29,21101,P32,21106,P30,21107,P31
DDR_1_DQS_N[2],10401,AU1
DDR_1_DQ[21],10402,AU2
DDR_1_DQ[18],10403,AR1
SAFE_MODE,10404,AK17
